rank,hebrew_primary,hebrew_vocalized,english,pos,relation_type,source,confidence,review_status,notes
300,משפט,מִשְׁפָּט,sentence,noun,exact,wordfreq,5.51,approved,import-ready
308,בעיקר,בְּעִיקָּר,mainly,adv,exact,wordfreq,5.49,approved,import-ready
329,באמצעות,בְּאֶמְצָעוּת,through,prep,exact,wordfreq,5.47,approved,import-ready
348,להגיע,לְהַגִּיעַ,to arrive,verb,exact,wordfreq,5.46,approved,import-ready
361,למצוא,לִמְצוֹא,to find,verb,exact,wordfreq,5.45,approved,import-ready
380,במהלך,בְּמַהֲלַך,during,prep,exact,wordfreq,5.45,approved,import-ready
382,דין,דִּין,law,noun,exact,wordfreq,5.45,approved,import-ready
385,רוב,רוֹב,majority,noun,exact,wordfreq,5.44,approved,import-ready
386,להגיד,לְהַגִּיד,to say,verb,exact,wordfreq,5.44,approved,import-ready
392,כמובן,כַּמּוּבָן,of course,adv,exact,wordfreq,5.43,approved,import-ready
400,לפחות,לְפָחוֹת,at least,adv,exact,wordfreq,5.42,approved,import-ready
401,מספיק,מַסְפִּיק,enough,adj,exact,wordfreq,5.42,approved,import-ready
408,משחק,מִשְׂחָק,game,noun,exact,wordfreq,5.41,approved,import-ready
410,שעה,שָׁעָה,hour,noun,exact,wordfreq,5.41,approved,import-ready
412,בכך,בְּכָךְ,thus,adv,exact,wordfreq,5.4,approved,import-ready
414,כגון,כְּגוֹן,such as,prep,exact,wordfreq,5.4,approved,import-ready
415,כוח,כּוֹחַ,power,noun,exact,wordfreq,5.4,approved,import-ready
416,למעלה,לְמַעְלָה,above,adv,exact,wordfreq,5.4,approved,import-ready
417,למעשה,לְמַעֲשֶׂה,actually,adv,exact,wordfreq,5.4,approved,import-ready
421,משרד,מִשְׂרָד,office,noun,exact,wordfreq,5.39,approved,import-ready
422,נוסף,נוֹסָף,additional,adj,exact,wordfreq,5.39,approved,import-ready
430,לגמרי,לְגַמְרֵי,completely,adv,exact,wordfreq,5.38,approved,import-ready
441,אור,אוֹר,light,noun,exact,wordfreq,5.37,approved,import-ready
